user_id,gender,age,height_cm,weight_kg,body_type,goal,activity,diet,spicy_pref,bmi
SU000044,female,57,156,49.5,meso,maintain,high,non-veg,medium,20.3
SU000045,female,36,160,54.3,meso,maintain,low,non-veg,medium,21.2
SU000046,male,37,168.3,55.1,ecto,gain,med,non-veg,medium,19.5
SU000047,male,50,178.2,71.3,meso,maintain,high,non-veg,low,22.5
SU000048,male,37,175.7,61.1,ecto,gain,low,veg,low,19.8
SU000049,male,47,167.5,61.7,meso,loss,med,veg,medium,22
SU000050,male,45,172.2,58.8,ecto,gain,high,non-veg,medium,19.8
SU000051,male,47,167.9,54.6,ecto,gain,med,non-veg,medium,19.4
SU000052,female,53,169.2,63.8,meso,maintain,low,non-veg,medium,22.3
SU000053,female,51,160.5,56.6,meso,loss,low,non-veg,high,22
SU000054,male,32,177.4,68.5,meso,maintain,low,veg,medium,21.8
SU000055,male,31,184.3,86.2,endo,maintain,med,non-veg,high,25.4
SU000056,female,37,161.5,64.3,endo,maintain,high,non-veg,medium,24.7
SU000057,male,49,169.4,54.1,ecto,gain,med,veg,medium,18.9
SU000058,male,57,166.5,57.3,meso,maintain,high,non-veg,medium,20.7
SU000059,female,29,160.4,50.3,ecto,gain,med,veg,medium,19.6
SU000060,female,23,154.2,47.4,meso,maintain,med,veg,high,19.9
SU000061,male,19,178.3,79.9,endo,loss,low,veg,low,25.1
SU000062,female,41,166.4,55.7,ecto,gain,med,non-veg,low,20.1
SU000063,male,55,164.4,49.7,ecto,gain,low,non-veg,high,18.4
SU000064,male,24,177.7,72,meso,maintain,low,non-veg,high,22.8
SU000065,male,40,178.2,70.4,meso,maintain,med,veg,medium,22.2
SU000066,female,58,160.5,61.4,endo,maintain,med,veg,low,23.8
SU000067,female,47,161.2,57.2,meso,loss,med,veg,high,22
SU000068,female,54,157.8,50.3,meso,loss,med,veg,high,20.2
SU000069,female,39,156.1,44.1,ecto,gain,med,non-veg,medium,18.1
SU000070,male,48,171.6,62.6,meso,maintain,med,non-veg,low,21.3
SU000071,female,60,159.9,55,meso,maintain,med,non-veg,medium,21.5
SU000072,female,32,154.6,45.5,ecto,maintain,low,veg,medium,19
SU000073,male,48,183.3,65.9,ecto,maintain,med,non-veg,medium,19.6
SU000074,female,18,158.6,51.7,meso,gain,low,veg,low,20.6
SU000075,female,24,160.8,65.2,endo,maintain,med,non-veg,medium,25.2
SU000076,male,43,173.8,68.5,meso,gain,med,non-veg,low,22.7
SU000077,male,33,173.1,58.9,ecto,gain,med,non-veg,high,19.7
SU000078,female,37,167.2,62.1,meso,maintain,low,non-veg,low,22.2
SU000079,female,60,152.3,42.2,ecto,loss,low,non-veg,low,18.2
SU000080,female,36,165,60.2,meso,maintain,med,non-veg,high,22.1
SU000081,male,45,173.3,61.3,ecto,maintain,low,veg,medium,20.4
SU000082,female,46,161.6,49.9,ecto,gain,med,non-veg,high,19.1
SU000083,male,56,184.9,71.3,ecto,maintain,med,veg,medium,20.9
SU000084,male,35,180.3,71.9,meso,maintain,med,veg,medium,22.1
SU000085,female,58,158.8,56.8,endo,maintain,high,non-veg,medium,22.5
SU000086,female,36,162.5,54,meso,maintain,med,non-veg,low,20.4
SU000087,male,43,170.1,71.1,endo,maintain,high,veg,high,24.6
SU000088,female,58,160.5,53.3,meso,gain,low,veg,low,20.7
SU000089,female,25,159.6,47.8,ecto,maintain,med,non-veg,high,18.8
SU000090,male,47,172.9,71.8,endo,maintain,med,veg,high,24
SU000091,female,48,166.3,70.5,endo,gain,low,non-veg,medium,25.5
SU000092,female,44,156.6,52.1,meso,maintain,med,veg,low,21.2
SU000093,female,27,150,46.7,meso,gain,med,veg,high,20.8
SU000094,male,54,181.7,73.4,meso,gain,high,non-veg,medium,22.2
SU000095,female,42,163,67.8,endo,maintain,med,non-veg,low,25.5
SU000096,male,46,171.3,60.1,ecto,gain,high,veg,low,20.5
SU000097,male,48,176.7,79.5,endo,maintain,low,non-veg,medium,25.5
SU000098,female,58,162.6,53.9,meso,maintain,med,non-veg,low,20.4
SU000099,female,32,164.5,59.2,meso,gain,med,veg,medium,21.9
SU000100,male,38,167.3,68.5,endo,maintain,low,non-veg,low,24.5
SU000101,male,28,164.1,50.3,ecto,gain,med,non-veg,medium,18.7
SU000102,female,34,160.1,54.4,meso,loss,high,non-veg,medium,21.2
SU000103,female,55,152.6,44.3,ecto,maintain,high,non-veg,medium,19
SU000104,female,54,181.8,76.1,meso,maintain,low,non-veg,low,23
SU000105,male,54,171.7,76.4,endo,maintain,med,non-veg,high,25.9
SU000106,male,56,160.7,63.5,endo,maintain,low,veg,medium,24.6
SU000107,male,58,177.6,60.3,ecto,gain,med,veg,high,19.1
SU000108,female,44,161.2,49.7,ecto,gain,low,non-veg,high,19.1
SU000109,male,34,179.4,80.1,endo,loss,high,non-veg,medium,24.9
SU000110,male,43,164.1,60.7,endo,maintain,high,non-veg,high,22.5
SU000111,female,41,162.7,54.9,meso,loss,med,non-veg,high,20.7
SU000112,female,57,158.9,46.7,ecto,gain,low,non-veg,high,18.5
SU000113,male,20,174.5,74.9,endo,maintain,low,non-veg,low,24.6
SU000114,female,55,157.9,52,meso,maintain,low,non-veg,low,20.9
SU000115,female,20,149,43.5,meso,gain,low,non-veg,low,19.6
SU000116,female,21,172.8,65.2,meso,maintain,low,veg,high,21.8
SU000117,male,21,181.3,79.1,endo,loss,low,veg,medium,24.1
SU000118,male,39,176.3,82.2,endo,gain,med,non-veg,medium,26.4
SU000119,female,29,161.9,47.5,ecto,maintain,high,veg,medium,18.1
SU000120,male,44,164.2,57.9,meso,loss,med,non-veg,high,21.5
SU000121,male,57,157.1,44,ecto,gain,med,non-veg,medium,17.8
SU000122,female,45,164,55.2,meso,maintain,med,non-veg,low,20.5
SU000123,male,26,179.4,64,ecto,gain,med,non-veg,medium,19.9
SU000124,male,25,171.8,69.9,endo,maintain,med,non-veg,high,23.7
SU000125,male,44,164,56.9,meso,loss,med,non-veg,low,21.2
SU000126,female,22,163.9,51.1,ecto,maintain,low,non-veg,high,19
SU000127,male,55,182,82.2,endo,gain,med,non-veg,medium,24.8
SU000128,male,36,161.8,56.5,meso,loss,med,non-veg,low,21.6
SU000129,male,40,176.1,81.9,endo,maintain,med,non-veg,medium,26.4
SU000130,male,56,161.2,63.6,endo,maintain,high,veg,low,24.5
SU000131,female,40,165.3,50.2,ecto,gain,high,non-veg,medium,18.4
SU000132,male,42,178.6,72.7,meso,maintain,low,non-veg,high,22.8
SU000133,male,21,166.1,54.2,ecto,gain,med,veg,low,19.6
SU000134,male,50,174.2,60,ecto,gain,med,veg,medium,19.8
SU000135,male,32,172.8,63.9,meso,maintain,med,veg,medium,21.4
SU000136,male,49,175.2,67.6,meso,maintain,low,non-veg,high,22
SU000137,female,22,164.6,57.7,meso,maintain,med,non-veg,medium,21.3
SU000138,female,36,162.4,51.2,ecto,gain,low,veg,high,19.4
SU000139,female,23,170.7,65.2,meso,loss,low,non-veg,medium,22.4
SU000140,male,22,177.8,68.9,meso,maintain,low,non-veg,high,21.8
SU000141,male,33,172.1,61.4,ecto,maintain,low,veg,low,20.7
SU000142,female,54,157.6,59.4,endo,maintain,med,non-veg,medium,23.9
SU000143,female,27,155.3,47.7,meso,gain,med,non-veg,high,19.8
SU000144,male,21,169,59.5,meso,maintain,low,non-veg,high,20.8
SU000145,female,47,166.6,58,meso,maintain,high,non-veg,low,20.9
SU000146,male,21,167.8,58.5,meso,maintain,high,non-veg,high,20.8
SU000147,male,33,163.2,56.2,meso,maintain,high,non-veg,medium,21.1
SU000148,male,58,182.1,72.3,meso,maintain,low,veg,medium,21.8
SU000149,male,39,167.1,52.1,ecto,gain,med,non-veg,medium,18.7
SU000150,male,37,164.7,59.4,meso,gain,med,veg,low,21.9
SU000151,male,59,177.2,71.4,meso,loss,med,veg,medium,22.7
SU000152,male,27,170.3,59.1,ecto,gain,high,veg,high,20.4
SU000153,male,60,177.9,72,meso,maintain,med,veg,medium,22.7
SU000154,male,46,181.6,66.9,ecto,maintain,med,non-veg,high,20.3
SU000155,female,32,162.9,59.2,meso,gain,low,non-veg,medium,22.3
SU000156,female,36,155.1,53.5,endo,maintain,med,non-veg,low,22.2
SU000157,female,21,166.6,58.7,meso,maintain,high,non-veg,low,21.1
SU000158,female,46,150.4,49.1,endo,maintain,low,non-veg,high,21.7
SU000159,female,19,163.7,56.3,meso,loss,med,non-veg,medium,21
SU000160,female,27,162.1,48.3,ecto,gain,low,non-veg,medium,18.4
SU000161,female,57,150.8,41.3,ecto,maintain,low,veg,high,18.2
SU000162,female,33,157.1,51.2,meso,loss,low,non-veg,high,20.7
SU000163,female,56,159.9,53.1,meso,maintain,med,non-veg,high,20.8
SU000164,male,60,172.3,65.4,meso,maintain,med,non-veg,high,22
SU000165,male,42,171.9,68.6,endo,loss,low,non-veg,medium,23.2
SU000166,male,55,166.4,61.6,meso,loss,low,veg,medium,22.2
SU000167,female,48,155.2,47.4,meso,maintain,high,veg,high,19.7
SU000168,male,38,173.3,71.8,endo,maintain,med,non-veg,medium,23.9
SU000169,male,36,176.1,71.1,meso,maintain,med,non-veg,medium,22.9
SU000170,female,39,164.1,65,endo,maintain,med,non-veg,high,24.1
SU000171,female,23,164.3,56.7,meso,maintain,high,veg,medium,21
SU000172,female,28,163.2,56.1,meso,gain,med,veg,high,21.1
SU000173,female,58,153,54.9,endo,gain,high,veg,medium,23.5
SU000174,male,56,180.2,73.2,meso,maintain,med,veg,low,22.5
SU000175,male,56,174.9,59.8,ecto,maintain,med,non-veg,medium,19.5
SU000176,female,33,161.5,65.7,endo,loss,low,veg,medium,25.2
SU000177,female,46,161,47.1,ecto,maintain,med,non-veg,high,18.2
SU000178,female,23,163.1,65.7,endo,maintain,high,non-veg,medium,24.7
SU000179,female,37,161.9,59.5,endo,loss,med,non-veg,medium,22.7
SU000180,male,33,165.1,68.6,endo,maintain,low,non-veg,medium,25.2
SU000181,male,22,173.3,63.2,meso,gain,high,non-veg,medium,21
SU000182,male,46,160.9,55.1,meso,maintain,med,veg,high,21.3
SU000183,male,45,170.8,66.5,meso,loss,high,non-veg,medium,22.8
SU000184,female,23,163.4,50.2,ecto,gain,med,non-veg,low,18.8
SU000185,male,55,162.9,64.2,endo,maintain,low,non-veg,high,24.2
SU000186,male,23,164.9,54.1,ecto,gain,med,non-veg,medium,19.9
SU000187,male,49,172.4,72.3,endo,maintain,med,non-veg,medium,24.3
SU000188,male,28,182.9,73.2,meso,maintain,med,veg,medium,21.9
SU000189,female,43,155.4,43.6,ecto,maintain,med,non-veg,medium,18.1
SU000190,female,42,161,64.3,endo,gain,med,non-veg,high,24.8
SU000191,female,30,159.5,63.9,endo,maintain,med,non-veg,medium,25.1
SU000192,male,31,173.2,68.2,meso,maintain,low,veg,medium,22.7
SU000193,female,52,155.9,43,ecto,maintain,low,veg,medium,17.7
SU000194,male,41,176.6,67.4,meso,gain,low,non-veg,high,21.6
SU000195,male,26,181.3,79,endo,maintain,med,non-veg,medium,24
SU000196,male,20,168.2,53.1,ecto,gain,med,non-veg,medium,18.8
SU000197,male,38,176.4,77.5,endo,maintain,low,non-veg,medium,24.9
SU000198,female,54,153.3,45.5,ecto,gain,high,non-veg,medium,19.4
SU000199,male,56,163.5,57.7,meso,loss,high,non-veg,high,21.6
SU000200,female,27,155.5,53.9,endo,maintain,low,non-veg,high,22.3
SU000201,female,27,148.5,44.7,meso,maintain,low,non-veg,medium,20.3
SU000202,male,53,174.1,64.5,meso,gain,med,non-veg,medium,21.3
SU000203,female,52,157.1,49.8,meso,loss,med,non-veg,medium,20.2
SU000204,female,32,152.3,54.3,endo,maintain,high,non-veg,high,23.4
SU000205,female,40,153.3,49.8,meso,maintain,high,non-veg,medium,21.2
SU000206,female,27,156.7,45.6,ecto,maintain,low,non-veg,medium,18.6
SU000207,female,31,165.4,53.5,ecto,maintain,med,non-veg,medium,19.6
SU000208,male,58,178.3,64.7,ecto,loss,low,veg,medium,20.4
SU000209,male,44,172.2,63.6,meso,loss,high,non-veg,medium,21.4
SU000210,male,59,167.1,62.9,meso,loss,med,non-veg,high,22.5
SU000211,male,20,185.3,90.7,endo,loss,med,non-veg,high,26.4
SU000212,male,39,168.8,58.4,ecto,gain,high,non-veg,medium,20.5
SU000213,female,35,159.8,49.7,ecto,gain,low,veg,medium,19.5
SU000214,male,29,175.8,67.1,meso,maintain,med,non-veg,medium,21.7
SU000215,male,29,167.1,65.9,endo,maintain,med,non-veg,low,23.6
SU000216,male,34,176.4,67.4,meso,maintain,med,veg,low,21.7
SU000217,female,25,166.6,59.7,meso,gain,high,non-veg,low,21.5
SU000218,female,44,158.2,54.1,meso,maintain,high,non-veg,high,21.6
SU000219,male,51,179,71.1,meso,maintain,med,veg,medium,22.2
SU000220,male,28,174.9,67.9,meso,loss,med,veg,low,22.2
SU000221,female,21,149.4,45.5,meso,maintain,med,non-veg,low,20.4
SU000222,male,31,174.5,70.4,meso,gain,low,veg,low,23.1
SU000223,male,48,180.6,64.7,ecto,gain,med,non-veg,high,19.8
SU000224,female,46,158.8,60.8,endo,maintain,high,non-veg,medium,24.1
SU000225,female,25,160.1,46.1,ecto,maintain,med,non-veg,high,18
SU000226,female,52,160.5,52.7,meso,gain,low,non-veg,low,20.5
SU000227,male,20,176.1,72.9,endo,loss,med,non-veg,high,23.5
SU000228,male,33,172.4,67.5,meso,loss,med,veg,low,22.7
SU000229,female,32,157.5,56.7,endo,loss,med,veg,medium,22.9
SU000230,male,44,167.3,63.1,meso,maintain,low,non-veg,high,22.5
SU000231,female,53,161.2,54.6,meso,loss,high,non-veg,medium,21
SU000232,female,29,154.9,57.1,endo,maintain,med,non-veg,medium,23.8
SU000233,male,53,171.8,61.9,meso,maintain,med,non-veg,medium,21
SU000234,female,23,165.4,59.5,meso,loss,high,veg,medium,21.7
SU000235,male,30,175.3,74.3,endo,gain,med,non-veg,low,24.2
SU000236,male,30,184.6,82.8,endo,maintain,low,non-veg,medium,24.3
SU000237,male,43,166.5,65.2,endo,maintain,med,non-veg,medium,23.5
SU000238,female,47,158.8,49.8,ecto,maintain,high,non-veg,high,19.7
SU000239,female,20,167.2,60,meso,loss,low,veg,medium,21.5
SU000240,female,32,156.9,52.1,meso,maintain,high,non-veg,medium,21.2
SU000241,female,59,164.8,56.5,meso,gain,med,non-veg,medium,20.8
SU000242,male,51,177.8,64.9,ecto,maintain,high,non-veg,medium,20.5
SU000243,male,22,165.4,59.6,meso,maintain,low,non-veg,medium,21.8
SU000244,female,19,154,42.6,ecto,gain,med,veg,medium,18
SU000245,male,50,174.1,71.5,endo,loss,med,non-veg,high,23.6
SU000246,female,40,161.7,50.3,ecto,gain,med,non-veg,medium,19.2
SU000247,male,37,172.2,64.2,meso,maintain,high,non-veg,high,21.7
SU000248,male,58,169.3,57.9,ecto,maintain,low,non-veg,medium,20.2
SU000249,male,51,167.6,72.4,endo,maintain,low,non-veg,medium,25.8
SU000250,female,52,158.1,54.7,meso,maintain,low,non-veg,medium,21.9
SU000251,female,22,156.7,45.3,ecto,gain,med,non-veg,high,18.4
SU000252,male,50,165.3,56.3,meso,maintain,low,veg,low,20.6
SU000253,female,38,151.2,41.1,ecto,gain,low,non-veg,medium,18
SU000254,female,23,171.2,69.9,endo,maintain,low,veg,low,23.8
SU000255,male,42,169,59.8,meso,loss,low,veg,medium,20.9
SU000256,female,53,163.7,55,meso,maintain,med,veg,medium,20.5
SU000257,female,42,142.5,40,ecto,gain,med,non-veg,high,19.7
SU000258,female,28,153.1,42.7,ecto,gain,low,non-veg,low,18.2
SU000259,female,22,155.1,47.8,meso,loss,high,non-veg,medium,19.9
SU000260,female,39,155.6,55.7,endo,maintain,med,non-veg,medium,23
SU000261,male,37,187.4,77,meso,maintain,high,veg,medium,21.9
SU000262,female,54,156.5,56.2,endo,gain,low,veg,high,22.9
SU000263,male,55,170,68.1,endo,maintain,low,non-veg,low,23.6
SU000264,male,44,157.8,50.2,meso,maintain,low,veg,medium,20.2
SU000265,female,22,170.7,63.1,meso,loss,med,non-veg,medium,21.7
SU000266,female,52,154.4,49.8,meso,loss,high,veg,low,20.9
SU000267,male,54,178.2,74,endo,maintain,med,non-veg,high,23.3
SU000268,male,46,170.6,61.4,meso,gain,med,non-veg,medium,21.1
SU000269,female,24,159.3,47.2,ecto,gain,high,veg,high,18.6
SU000270,female,40,154.5,48.1,meso,maintain,med,non-veg,medium,20.2
SU000271,male,19,176.5,74.1,endo,loss,med,non-veg,low,23.8
SU000272,female,47,159.5,47.9,ecto,loss,med,veg,medium,18.8
SU000273,male,46,172.2,62.1,meso,loss,med,non-veg,low,20.9
SU000274,male,41,161.1,55.1,meso,maintain,med,veg,high,21.2
SU000275,female,57,164.2,59.5,meso,gain,low,non-veg,medium,22.1
SU000276,male,26,179.9,69.4,meso,maintain,low,veg,medium,21.4
SU000277,male,54,156.3,50.9,meso,maintain,low,non-veg,medium,20.8
SU000278,male,29,151.6,44.2,meso,maintain,med,veg,medium,19.2
SU000279,female,53,163.7,55,meso,loss,med,non-veg,medium,20.5
SU000280,male,36,166.1,54,ecto,gain,low,veg,high,19.6
SU000281,female,53,167.5,62.3,meso,maintain,med,veg,medium,22.2
SU000282,female,52,159.6,46.9,ecto,gain,med,non-veg,medium,18.4
SU000283,male,46,180.1,62.8,ecto,gain,high,veg,high,19.4
SU000284,female,57,167.4,58.9,meso,loss,low,veg,low,21
SU000285,female,52,158.8,49.6,ecto,gain,med,veg,high,19.7
SU000286,male,26,176.6,81.3,endo,loss,med,non-veg,high,26.1
SU000287,male,33,169.4,57,ecto,gain,low,veg,high,19.9
SU000288,female,46,162.1,51.7,ecto,gain,med,non-veg,medium,19.7
SU000289,female,47,158.9,59.4,endo,maintain,low,veg,high,23.5
SU000290,female,22,150.3,50.9,endo,maintain,med,non-veg,high,22.5
SU000291,female,39,168,58.4,meso,maintain,low,non-veg,high,20.7
SU000292,female,19,153.7,45.7,ecto,maintain,high,non-veg,low,19.3
SU000293,male,59,170.4,64.4,meso,maintain,high,non-veg,low,22.2
SU000294,male,43,173.9,63.8,meso,loss,med,non-veg,medium,21.1
SU000295,male,48,177.5,60.1,ecto,gain,med,non-veg,medium,19.1
SU000296,male,48,172.3,57.3,ecto,gain,med,non-veg,low,19.3
SU000297,male,42,176.6,72.5,endo,maintain,med,veg,high,23.2
SU000298,female,40,165.8,60.3,meso,gain,med,veg,medium,21.9
SU000299,male,24,162.4,49.1,ecto,gain,low,non-veg,medium,18.6
SU000300,male,53,176.6,65.6,meso,maintain,med,veg,high,21
SU000301,female,31,172.1,67.8,meso,maintain,med,non-veg,medium,22.9
SU000302,male,33,176.3,72,meso,gain,med,non-veg,high,23.2
SU000303,male,42,173.2,76.8,endo,loss,med,non-veg,medium,25.6
SU000304,male,18,157.1,46.3,ecto,gain,low,veg,high,18.8
SU000305,female,45,159.1,53.3,meso,loss,low,non-veg,medium,21.1
SU000306,male,52,177.1,70.4,meso,maintain,med,non-veg,medium,22.4
SU000307,female,33,156,46.6,ecto,gain,low,non-veg,medium,19.1
SU000308,male,18,168.7,62,meso,maintain,med,veg,high,21.8
SU000309,female,28,169.5,61.5,meso,maintain,med,non-veg,high,21.4
SU000310,male,34,180.7,71.6,meso,maintain,med,veg,medium,21.9
SU000311,male,41,179.4,60.7,ecto,gain,med,non-veg,medium,18.9
SU000312,male,33,178.5,66.9,ecto,loss,med,non-veg,low,21
SU000313,female,32,165.1,58.6,meso,gain,med,non-veg,medium,21.5
SU000314,male,32,174.7,75.3,endo,maintain,high,non-veg,low,24.7
SU000315,female,38,162.1,48.9,ecto,maintain,med,non-veg,medium,18.6
SU000316,female,30,150.4,47.3,meso,loss,med,non-veg,low,20.9
SU000317,female,58,153.6,55.9,endo,loss,high,non-veg,low,23.7
SU000318,male,44,162.3,53.8,meso,gain,low,non-veg,high,20.4
SU000319,female,41,156.1,50.9,meso,loss,med,non-veg,medium,20.9
SU000320,male,33,167.4,56.6,ecto,maintain,high,non-veg,medium,20.2
SU000321,female,35,162.2,50.1,ecto,maintain,high,veg,high,19
SU000322,male,52,173.8,68.8,meso,loss,med,non-veg,medium,22.8
SU000323,female,56,160.1,48.7,ecto,gain,high,veg,low,19
SU000324,female,29,165.6,51.7,ecto,gain,med,non-veg,high,18.9
SU000325,male,25,174.6,61.3,ecto,maintain,high,non-veg,low,20.1
SU000326,female,22,154.8,42.6,ecto,gain,low,non-veg,medium,17.8
SU000327,female,25,162.6,48.1,ecto,gain,med,veg,medium,18.2
SU000328,male,40,166.6,51.1,ecto,gain,low,veg,high,18.4
SU000329,male,59,171.4,55.9,ecto,gain,med,non-veg,low,19
SU000330,male,58,175.2,78.3,endo,maintain,med,veg,medium,25.5
SU000331,female,40,158.2,62.1,endo,maintain,med,non-veg,low,24.8
SU000332,male,48,175.8,65.5,meso,maintain,med,non-veg,high,21.2
SU000333,female,52,162.2,65.5,endo,maintain,high,veg,high,24.9
SU000334,male,29,183.4,68.2,ecto,maintain,low,non-veg,medium,20.3
SU000335,female,54,165.1,57.5,meso,maintain,med,veg,high,21.1
SU000336,male,21,167.3,57,ecto,loss,low,non-veg,low,20.4
SU000337,male,39,179.9,74.9,meso,maintain,high,non-veg,medium,23.1
SU000338,female,22,161.1,53.9,meso,loss,high,non-veg,low,20.8
SU000339,male,45,181.1,86.8,endo,maintain,high,non-veg,low,26.5
SU000340,male,60,170.2,60.8,meso,maintain,low,veg,medium,21
SU000341,female,54,161.4,52.2,ecto,maintain,med,non-veg,high,20
SU000342,male,33,179.6,74,meso,maintain,low,non-veg,high,22.9
SU000343,female,46,162.2,47.9,ecto,gain,low,non-veg,medium,18.2
SU000344,female,28,150.7,48.6,endo,maintain,med,non-veg,medium,21.4
SU000345,male,28,171.8,63.6,meso,gain,med,veg,low,21.5
SU000346,male,22,174.8,68.1,meso,maintain,high,veg,medium,22.3
SU000347,male,45,175.3,73.1,endo,maintain,low,non-veg,low,23.8
SU000348,female,60,162.4,52.5,ecto,maintain,low,veg,medium,19.9
SU000349,female,18,160.4,52.6,meso,maintain,low,non-veg,medium,20.4
SU000350,male,48,173.3,75.8,endo,loss,low,non-veg,medium,25.2
SU000351,female,29,155.6,51.8,meso,maintain,med,veg,low,21.4
SU000352,male,60,173.7,61.4,ecto,loss,med,non-veg,medium,20.4
SU000353,male,42,159.8,60.3,endo,loss,med,non-veg,high,23.6
SU000354,male,50,174,64.2,meso,gain,med,non-veg,high,21.2
SU000355,female,29,162.3,64.7,endo,loss,low,veg,low,24.6
SU000356,male,56,172.6,58.1,ecto,maintain,high,non-veg,low,19.5
SU000357,female,35,151.1,44.2,meso,maintain,high,veg,high,19.4
SU000358,male,24,166.5,58.9,meso,maintain,low,veg,medium,21.2
SU000359,female,59,165.1,59.7,meso,loss,med,veg,medium,21.9
SU000360,female,33,166.5,52.9,ecto,gain,med,veg,medium,19.1
SU000361,female,35,160.7,63.5,endo,maintain,high,non-veg,high,24.6
SU000362,female,35,165,60.9,meso,maintain,med,veg,medium,22.4
SU000363,female,51,157.3,55.2,endo,gain,high,non-veg,low,22.3
SU000364,male,29,178.6,63.4,ecto,gain,high,non-veg,low,19.9
SU000365,male,35,170.1,63,meso,maintain,med,non-veg,high,21.8
SU000366,female,55,155.9,52,meso,loss,low,non-veg,medium,21.4
SU000367,male,42,172.8,57,ecto,gain,high,non-veg,low,19.1
SU000368,male,18,176.2,66.7,meso,maintain,low,veg,high,21.5
SU000369,female,59,161,49.5,ecto,gain,high,non-veg,medium,19.1
SU000370,male,18,177,70.3,meso,maintain,med,non-veg,medium,22.4
SU000371,female,24,158.5,55.1,meso,maintain,low,veg,medium,21.9
SU000372,male,27,180.6,74.8,meso,maintain,low,veg,high,22.9
SU000373,female,26,154.8,47,meso,gain,med,non-veg,medium,19.6
SU000374,male,39,174.9,70.2,meso,maintain,low,non-veg,high,22.9
SU000375,female,28,163.2,66.6,endo,maintain,high,veg,low,25
SU000376,male,39,175.3,67.3,meso,gain,low,veg,high,21.9
SU000377,female,34,154.7,49.9,meso,maintain,med,veg,low,20.9
SU000378,male,50,166.1,55.7,ecto,loss,med,non-veg,medium,20.2
SU000379,male,39,168.1,63,meso,maintain,med,non-veg,medium,22.3
SU000380,male,38,180.7,70.2,meso,maintain,low,veg,high,21.5
SU000381,female,23,159.4,48.3,ecto,gain,med,non-veg,medium,19
SU000382,male,38,172.1,75.3,endo,loss,med,veg,low,25.4
SU000383,female,37,162.3,49.3,ecto,gain,med,non-veg,low,18.7
SU000384,female,45,155.5,55.1,endo,loss,high,veg,high,22.8
SU000385,female,19,156.9,45.4,ecto,gain,med,veg,high,18.4
